Date,Account,Description,Payee,Amount,Category,Is_Tax_Deductible,Is_Reimbursable,Source,TransactionID,Reviewed,ReconciliationID,SourceTransactionID,Rule_Ignored,Duplicate_Ignored
2024-01-02,US Bank Checking,ELECTRONIC WITHDRAWAL brightwheel  brightwheel,Electronic Withdrawal Brightwheel,-750.0,Child-Related: Afterschool,False,False,usbank_6055_combined.csv,769524ea1a64cd5412c8ec58426c501c,True,,,False,False
2024-01-03,US Bank Checking,WEB AUTHORIZED PMT DISCOVER,Web Authorized Pmt Discover,-9.99,Transfer,False,False,usbank_6055_combined.csv,bdf4e6fe80e451f6916326fd90879295,True,REC-4ae1097f05a8,,False,False
2024-01-03,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,9a867e94093f99f78b700610c6583d1c,True,,,False,False
2024-01-03,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,5c0d0c801ba782059fbd7c163a7fc2c5,True,,,False,False
2024-01-05,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-27.43,Home: Utilities,False,False,usbank_6055_combined.csv,0c1715e4b9a4ff9b1950cfa5686778ff,True,,,False,False
2024-01-08,US Bank Checking,ZELLE INSTANT PMT FROM KRISTINE A NORTH              JPM99a7m25nv,Zelle Instant Pmt From Kristine A North,500.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,78c14d7e43b0618ffc44b06e7572af19,True,,,False,False
2024-01-08,US Bank Checking,ZELLE INSTANT PMT FROM KRISTINE A NORTH              JPM99a7o7k60,Zelle Instant Pmt From Kristine A North,500.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,65ee936a81c61fd334060471d5532b96,True,,,False,False
2024-01-08,US Bank Checking,ZELLE INSTANT PMT FROM KRISTINE A NORTH              JPM99a7os961,Zelle Instant Pmt From Kristine A North,200.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,942437f6bc0a6dfcc08dedcd400e8df2,True,,,False,False
2024-01-08,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,405.8,Income: Paycheck,False,False,usbank_6055_combined.csv,79ba25eeb043c00f21254f1148f83597,True,,,False,False
2024-01-08,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,310.0,Income: Paycheck,False,False,usbank_6055_combined.csv,6fef9d9e269509693826578bde759c61,True,,,False,False
2024-01-08,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-78.0,Transfer,False,False,usbank_6055_combined.csv,11698a5e002dd59a7e90b0e28aaea30a,True,REC-2fe0367fa719,,False,False
2024-01-08,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-1159.61,Transfer,False,False,usbank_6055_combined.csv,f16dbc7bb0c6b68b5748165cd11ca40d,True,REC-d277e0f7fe3d,,False,False
2024-01-10,US Bank Checking,ELECTRONIC DEPOSIT BANK OF AMERICA,Electronic Deposit Bank Of America,889.71,Income: Paycheck,False,False,usbank_6055_combined.csv,daf728dd996a2b917258bfc0de63f7bc,True,,,False,False
2024-01-10,US Bank Checking,ELECTRONIC DEPOSIT BANK OF AMERICA,Electronic Deposit Bank Of America,1038.0,Income: Paycheck,False,False,usbank_6055_combined.csv,cbd87921d6db2270b271e46d5d072a40,True,,,False,False
2024-01-11,US Bank Checking,WEB AUTHORIZED PMT TARGET CARD SRVC,Web Authorized Pmt Target Card Srvc,-109.89,Transfer,False,False,usbank_6055_combined.csv,b568e7f8400421f9b25cf15b553446ed,True,REC-35ae1c624025,,False,False
2024-01-16,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,a625364e73ca88f42668f4ca513db112,True,,,False,False
2024-01-22,US Bank Checking,WEB AUTHORIZED PMT WELLS FARGO CARD,Web Authorized Pmt Wells Fargo Card,-1500.0,Transfer,False,False,usbank_6055_combined.csv,6503f42682c072bf1623d4a02d842b1f,True,REC-5aa2420498d0,,False,False
2024-01-23,US Bank Checking,ZELLE INSTANT PMT FROM KRISTINE A NORTH              JPM99a8do01o,Zelle Instant Pmt From Kristine A North,1050.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,ff7689b42a75d765329f8236580be121,True,,,False,False
2024-01-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-1648.22,Transfer,False,False,usbank_6055_combined.csv,a7547167656162f9a2a704f338f2aa1c,True,REC-f890670ca5fe,,False,False
2024-01-26,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,82d0a4a01004408dbc0cd7ae00b09c5f,True,,,False,False
2024-01-26,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,b84594f12d825f6346c7841a1ba135dd,True,,,False,False
2024-01-29,US Bank Checking,ELECTRONIC DEPOSIT PAYPAL,Electronic Deposit Paypal,86.05,Income: Reimbursement,False,False,usbank_6055_combined.csv,afa76ca9bbb5570a0f8f8198171781b8,True,,,False,False
2024-01-31,US Bank Checking,ELECTRONIC WITHDRAWAL brightwheel,Electronic Withdrawal Brightwheel,-750.0,Child-Related: Afterschool,False,False,usbank_6055_combined.csv,31b3789781bdcba93ffbae4c2be01d35,True,,,False,False
2024-02-02,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-27.01,Home: Utilities,False,False,usbank_6055_combined.csv,6e357d62cfe485a0db5dd252141e0d4c,True,,,False,False
2024-02-02,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,aace7379f97546774ffb26bbb9c9eac4,True,,,False,False
2024-02-02,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,006cbedf376f21b13a70914b7ea47e54,True,,,False,False
2024-02-05,US Bank Checking,ELECTRONIC DEPOSIT VENMO,Electronic Deposit Venmo,603.36,Transfer,False,False,usbank_6055_combined.csv,ac63dfe22a44258507c3ec7ad54059aa,True,REC-7cb2489b9287,,False,False
2024-02-05,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,368.73,Income: Paycheck,False,False,usbank_6055_combined.csv,17577de47cc88f3b3d0b6569f8f4b637,True,,,False,False
2024-02-05,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,101.5,Income: Paycheck,False,False,usbank_6055_combined.csv,92628c4b37ccf98604229c7e4078ee1f,True,,,False,False
2024-02-05,US Bank Checking,CHECK,Check,-300.0,Health & Wellness: Premiums,False,False,usbank_6055_combined.csv,8eb7dfe485669c1d67b6157673fdc8b2,True,,,False,False
2024-02-05,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,5df5f896dae74506c881e761a2f6688e,True,,,False,False
